Key,English,French,Spanish,Arabic,Chinese Simplified,Chinese Traditonal,Japanese,Hebrew
PlaySpace1,Start,Début,Comienzo,بداية,开始,開始,開始,הַתחָלָה
PlaySpace2,Roll Again,Roulez Encore,Lanza otra vez,أدره مرة أخرى,再次滚动,再次滾動,再びロールバックする,להתגלגל שוב
PlaySpace3,Non-violence,La non-violence,No violencia,اللاعنف,非暴力,非暴力,非暴力,אי-אלימות
PlaySpace4,Pride,Fierté,Orgullo,فخر,自豪,自豪,誇り,גאווה
PlaySpace5,Good Luck,Bonne chance,Buena suerte,حظا طيبا وفقك الله,祝你好运,祝你好運,がんばろう,בהצלחה
PlaySpace6,Trustworthy,Digne de confiance,Confiable,جدير بالثقة,可靠,可靠,信頼できる,אָמִין
PlaySpace7,Trouble,Difficulté,Problema,مشكلة,麻烦,麻煩,トラブル,צרות
PlaySpace8,Loyalty,Fidélité,Lealtad,وفاء,忠诚,忠誠,ロイヤリティー,נֶאֱמָנוּת
PlaySpace9,Co-operation,La coopération,Cooperación,تعاون,合作,合作,協力,שיתוף פעולה
PlaySpace10,Roll Again,Roulez Encore,Lanza otra vez,أدره مرة أخرى,再次滚动,再次滾動,再びロールバックする,להתגלגל שוב
PlaySpace11,Lonely,solitaire,Solitario,وحيد,孤独,孤獨,寂しい,בּוֹדֵד
PlaySpace12,Kindness,La gentillesse,Amabilidad,لطف,善良,善良,親切,חסד
PlaySpace13,Blank,Blank,Blank,Blank,Blank,空白,ブランク,רֵיק
PlaySpace14,Peace,Paix,Paz,سلام,和平,和平,平和,שָׁלוֹם
PlaySpace15,Lazy,Paresseux,Perezoso,كسول,懒,懶,レイジー,עָצֵל
PlaySpace16,Loss,Perte,Pérdida,خسارة,失利,失利,損失,הֶפסֵד
PlaySpace17,Courage,Courage,Valor,شجاعة,勇气,勇氣,勇気,אומץ
PlaySpace18,Vanity,Vanité,vanidad,الغرور,虚荣,虛榮,バニティ,הֶבֶל
PlaySpace19,Bad Luck,Malchance,Mala suerte,حظ سيء,厄运,厄運,不運,מזל רע
PlaySpace20,Blank,Blank,Blank,Blank,Blank,空白,ブランク,רֵיק
PlaySpace21,Roll Again,Roulez Encore,Lanza otra vez,أدره مرة أخرى,再次滚动,再次滾動,再びロールバックする,להתגלגל שוב
PlaySpace22,Friendship,Relation amicale,Amistad,صداقة,友谊,友誼,友情,חֲבֵרוּת
PlaySpace23,Good Luck,Bonne chance,Buena suerte,حظا طيبا وفقك الله,祝你好运,祝你好運,がんばろう,בהצלחה
PlaySpace24,Empathy,Empathie,Empatía,العطف,同情,同情,共感,אֶמפַּתִיָה
PlaySpace25,Greed,Avidité,Codicia,جشع,贪心,貪心,貪欲,חמדנות
PlaySpace26,Appreciation,Appréciation,Apreciación,تقدير,升值,升值,感謝,הוֹקָרָה
PlaySpace27,Ignorance,Ignorance,Ignorancia,جهل,无知,無知,無知,בּוּרוּת
PlaySpace28,Regret,Le regret,Lamentar,يندم,后悔,後悔,後悔,חֲרָטָה
PlaySpace29,Wisdom,Sagesse,Sabiduría,حكمة,智慧,智慧,知恵,חוכמה
PlaySpace30,Fear,Peur,Miedo,خوف,恐惧,恐懼,恐れ,פַּחַד
PlaySpace31,Strength,Force,Fuerza,قوة,强度,強度,力,כוח
PlaySpace32,Jealousy,Jalousie,Celos,الغيرة,妒忌,妒忌,嫉妬,קנאה
PlaySpace33,Bad Luck,Malchance,Mala suerte,حظ سيء,厄运,厄運,不運,מזל רע
PlaySpace34,Patience,La patience,Paciencia,صبر,忍耐,忍耐,忍耐,סבלנות
PlaySpace35,Hurt,Blesser,Herir,جرح,伤害,傷害,傷つける,כאב
PlaySpace36,Under-standing,Compréhension,Comprensión,فهم,理解,理解,理解,הֲבָנָה
PlaySpace37,Sympathy,La sympathie,Simpatía,"تعاطف، عطف",同情,同情,同情,אַהֲדָה
PlaySpace38,Un-trustworthy,Indigne de confiance,Indigno de confianza,Blank,Blank,取消守信,信頼できない,לא אמין
PlaySpace39,Blank,Blank,Blank,Blank,空白,空白,ブランク,רֵיק
PlaySpace40,Creativity,La créativité,Creatividad,الإبداع,创造力,創造力,創造性,יְצִירָתִיוּת
PlaySpace41,Violence,La violence,Violencia,عنف,暴力,暴力,暴力,אַלִימוּת
PlaySpace42,Rejection,Rejet,Rechazo,الرفض,拒绝,拒絕,拒絶,דְחִיָה
PlaySpace43,Honesty,Honnêteté,Honestidad,أمانة,诚实,誠實,正直,יוֹשֶׁר
PlaySpace44,Fighting,Combat,Lucha,قتال,战斗,戰鬥,ファイティング,לְחִימָה
PlaySpace45,Generosity,Générosité,Generosidad,سخاء,慷慨,慷慨,寛大さ,נדיבות
PlaySpace46,Helpful,Utile,Servicial,"معاون، مساعد، مفيد، فاعل خير",有帮助,有幫助,役に立つ,מוֹעִיל
PlaySpace47,Success,Succès,Éxito,نجاح,成功,成功,成功,הַצלָחָה
PlaySpace48,Temper,Tempérer,Templar,"لين، لطف، هدأ",脾气,脾氣,気性,מזג
PlaySpace49,Pain,Douleur,Dolor,الم,疼痛,疼痛,痛み,כְּאֵב
PlaySpace50,Praise,Louange,Alabanza,مدح,赞美,讚美,賞賛,שֶׁבַח
PlaySpace51,Compassion,La compassion,Compasión,تعاطف,同情,同情,同情,חֶמלָה
PlaySpace52,Selfish,Égoïste,Egoísta,أناني,自私,自私,利己的,אָנוֹכִי
PlaySpace53,Blank,Blank,Blank,Blank,Blank,空白,ブランク,רֵיק
PlaySpace54,Respect,Le respect,El respeto,احترام,尊重,尊重,尊敬,כבוד
PlaySpace55,Gratitude,Gratidude,Gratidude,امتنان,感谢,感謝,感謝,הכרת תודה
PlaySpace56,Dishonesty,Malhonnêteté,Deshonestidad,عدم الأمانة,不诚实,不誠實,不正,אִי יִוֹשֶׁר
PlaySpace57,Forgiveness,Le pardon,Perdón,مغفرة,饶恕,饒恕,許し,סְלִיחָה
PlaySpace58,Cruelty,Cruauté,Crueldad,قسوة,残酷,殘酷,残酷,אַכְזָרִיוּת
PlaySpace59,Love,Amour,Amor,حب,爱,愛,愛,אהבה
PlaySpace60,Finish,Terminer,Terminar,إنهاء,完,完,フィニッシュ,סִיוּם
RollDice,Roll Dice,Roulez les dés,Tirar el dado,لفة النرد,掷骰子,擲骰子,さいころを振る,גלגל את הקוביה
Rolled,Rolled,Roulé,Arrollado,توالت,轧制,軋製,転がされた,מְגוּלגָל
RollAgain,Roll Again,Roulez Encore,Lanza otra vez,أدره مرة أخرى,再次滚动,再次滾動,再びロールバックする,להתגלגל שוב
